Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator ON_Logo                  0mil          0mil    491.241mil    930.444mil          0mil          0mil  B        270.00 Comment        
Batt2      Battery_Clip_AAA   2050.354mil    925.197mil   1015.315mil    925.197mil   2965.315mil    925.197mil  B        360.00 591/597        
Batt1      Battery_Clip_AAA   2295.236mil   1464.567mil   3330.276mil   1464.567mil   1380.276mil   1464.567mil  B        180.00 591/597        
R23        R0402             1832.244mil   1554.331mil   1832.244mil   1554.331mil   1832.244mil   1538.191mil  T         90.00 0 ohms         
Pot2       Poti-4mm_SMD      1997.599mil    943.307mil   1993.661mil    943.307mil   1922.795mil   1000.394mil  T        270.00 500K           
Pot1       Poti-4mm_SMD      1727.126mil   1368.898mil   1727.126mil   1372.835mil   1784.213mil   1443.701mil  T        180.00 1M             
Lens1      Lens              1110.591mil   1464.567mil   1110.591mil   1464.567mil   1423.778mil   1777.754mil  T         45.00 Fresnel Lens 8003-1
SW1        SW_MS-22D01       2938.937mil   2044.882mil   2938.937mil   2044.882mil   2938.937mil   1930.709mil  T        180.00 MS-22D01       
ANT1       Spring_Antenna     1074.37mil   2133.858mil    1074.37mil   2133.858mil    1074.37mil   2133.858mil  B        180.00 SW868-TH13     
S2         ONSC-TO-5-3       1110.591mil   1464.567mil   1110.591mil   1464.567mil    1039.88mil   1535.278mil  T        315.00 D203S          
R22        R0402             1623.189mil   1186.614mil   1623.189mil   1186.614mil   1623.189mil   1202.754mil  T        270.00 0 ohms         
R21        R0402             1761.646mil    840.231mil   1761.646mil    840.231mil   1761.646mil    856.371mil  T        270.00 0 ohms         
R20        R0402             1761.646mil    980.386mil   1761.646mil    980.386mil   1761.646mil    964.246mil  T         90.00 0-500K         
R19        R0402             1319.646mil   1216.929mil   1319.646mil   1216.929mil   1303.506mil   1216.929mil  T        360.00 0-1M           
R17        R0402             1760.984mil   1049.213mil   1760.984mil   1049.213mil   1760.984mil   1033.073mil  T         90.00 47K            
R16        R0402             1761.378mil   1152.362mil   1761.378mil   1152.362mil   1761.378mil   1136.222mil  T         90.00 1K             
R15        R0402             1407.047mil    841.338mil   1407.047mil    841.338mil   1407.047mil    857.479mil  T        270.00 43K            
R14        R0402             1397.677mil   1245.352mil   1397.677mil   1245.352mil   1413.817mil   1245.352mil  T        180.00 20K            
R13        R0402             1399.961mil   1020.472mil   1399.961mil   1020.472mil   1416.101mil   1020.472mil  T        180.00 10K            
